ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Afghan_SL,Afghan Sign Language,afgh1239,,,,34.434167,70.447778,,Afghan-Jordanian
Albanian_SL,Albanian Sign Language,alba1271,,,,41.328889,19.817778,,Albanian
American_1821,American Sign Language,amer1248,,,,40.73061,-73.935242,,French
American_1886,American Sign Language,amer1248,,,,38.895,-77.0366,,French
American_1918,American Sign Language,amer1248,,,,41.587830982,-93.61916419,,French
American_SL,American Sign Language,amer1248,,,,33.8117,-81.6121,,French
Australian_SL,Australian Sign Language,aust1271,,,,-30,145,,British
Austrian_1786,Austrian Sign Language,aust1252,,,,48.210033,16.363449,,Austrian
Austrian_1823,Austrian Sign Language,aust1252,,,,48.210033,16.363449,,Austrian
Austrian_1839,Austrian Sign Language,aust1252,,,,48.210033,16.363449,,French
Austrian_SL,Austrian Sign Language,aust1252,,,,48.1197,16.225,,Austrian
Bonet_1620,Bonet 1620,,,,,40.416775,-3.70379,,Spanish
Brazilian_1875,Brazilian Sign Language,braz1236,,,,-22.909897,-43.185348,,French
Brazilian_SL,Brazilian Sign Language,braz1236,,,,-15.5,-48,,French
British_SL,British Sign Language,brit1235,,,,51.6688,-0.4431,,British
Bulgarian_SL,Bulgarian Sign Language,bulg1240,,,,42.7918,25.0026,,Russian
Catalan_SL,Catalan Sign Language,cata1287,,,,41.63,-1.97,,Spanish
Croatian_SL,Croatian Sign Language,croa1242,,,,45.5,16.8,,British
Czech_SL,Czech Sign Language,czec1253,,,,50.01,14.48,,British
Danish_1808,Danish Sign Language,dani1246,,,,55.676098,12.568337,,Austrian
Danish_1871,Danish Sign Language,dani1246,,,,55.676098,12.568337,,Austrian
Danish_1907,Danish Sign Language,dani1246,,,,55.676098,12.568337,,Austrian
Danish_1926,Danish Sign Language,dani1246,,,,55.676098,12.568337,,Austrian
Danish_1967,Danish Sign Language,dani1246,,,,55.676098,12.568337,,Austrian
Danish_SL,Danish Sign Language,dani1246,,,,55.83,12.32,,Austrian
Dutch_1790,Sign Language of the Netherlands,dutc1253,,,,53.2193835,6.5665018,,French
Dutch_1820,Sign Language of the Netherlands,dutc1253,,,,53.2193835,6.5665018,,French
Dutch_SL,Sign Language of the Netherlands,dutc1253,,,,52.13,4.91,,French
Estonian_1988,Estonian Sign Language,esto1238,,,,59.436962,24.753574,,Russian
Estonian_SL,Estonian Sign Language,esto1238,,,,58.95,24.57,,Russian
Finnish_SL,Finnish Sign Language,finn1310,,,,60.66,25.07,,French
Flemish_SL,Flemish Sign Language,vlaa1235,,,,50.8,4.31,,French
French_1800,French Sign Language,fren1243,,,,48.845006,2.341291,,French
French_1803,French Sign Language,fren1243,,,,48.845006,2.341291,,French
French_1815,French Sign Language,fren1243,,,,48.845006,2.341291,,French
French_1856,French Sign Language,fren1243,,,,48.845006,2.341291,,French
French_SL,French Sign Language,fren1243,,,,47,3,,French
French-Belgian_SL,French-Belgian Sign Language,lang1248,,,,50.8,4.31,,French
German_1820,German Sign Language,germ1281,,,,48.79947,9.79809,,Austrian
German_1909,German Sign Language,germ1281,,,,51.343479,12.387772,,Austrian
German_1916,German Sign Language,germ1281,,,,52.520008,13.404954,,Austrian
German_SL,German Sign Language,germ1281,,,,50.82,7.3,,Austrian
Greek_SL,Greek Sign Language,gree1271,,,,38.05,23.38,,French
Hungary_1827,Hungarian Sign Language,hung1263,,,,47.77591,19.13612,,Austrian
Icelandic_1857,Icelandic Sign Language,icel1236,,,,65.68353,-18.0878,,Austrian
Icelandic_SL,Icelandic Sign Language,icel1236,,,,64.17,-20.27,,Austrian
Indian_SL,Indian Sign Languaage,indi1237,,,,27.52,79.68,,British
International_MA,International Sign,inte1259,,,,49.74,-30.08,,French
Irish_SL,Irish Sign Language,iris1235,,,,53.31,-6.37,,French
Italian_1897,Italian Sign Language,ital1275,,,,45.464211,9.191383,,French
Italian_SL,Italian Sign Language,ital1275,,,,42.73,12.43,,French
Jordanian_SL,Jordanian Sign Language,,,,,31.82,36.08,,Afghan-Jordanian
Latvian_SL,Latvian Sign Language,latv1245,,,,56.93,24.49,,Polish
Lithuanian_SL,Lithuainian Sign Language,lith1236,,,,55.25,23.88,,Polish
Mexican_SL,Mexican Sign Language,mexi1237,,,,19.75,-98.5,,French
NewZealand_SL,New Zealand Sign Language,newz1236,,,,-39.29,175.77,,British
Norwegian_1893,Norwegian Sign Language,norw1261,,,,59.911491,10.757933,,Austrian
Norwegian_1900,Norwegian Sign Language,norw1261,,,,63.446827,10.421906,,Austrian
Norwegian_1955,Norwegian Sign Language,norw1261,,,,63.446827,10.421906,,Austrian
Norwegian_SL,Norwegian Sign Language,norw1261,,,,60.77,10.24,,Norwegian
Pakistan_SL,Pakistan Sign Language,paki1242,,,,28.07,67.88,,French
Polish_1879,Polish Sign Language,poli1259,,,,52.237049,21.017532,,Austrian
Polish_SL,Polish Sign Language,poli1259,,,,52,20.76,,Polish
Portuguese_SL,Portuguese Sign Language,port1277,,,,38.55,-8.53,,Swedish
Quebec_SL,Quebec Sign Language,queb1245,,,,46,-74.87,,French
Russian_1835,Russian Sign Language,russ1255,,,,59.93863,30.31413,,Russian
Russian_SL,Russian Sign Language,russ1255,,,,56,44,,Russian
Spanish_1815,Spanish Sign Language,span1263,,,,40.416775,-3.70379,,Spanish
Spanish_1845,Spanish Sign Language,span1263,,,,40.416775,-3.70379,,Spanish
Spanish_1859,Spanish Sign Language,span1263,,,,40.416775,-3.70379,,Spanish
Spanish_SL,Spanish Sign Language,span1263,,,,40.0314,-3.70738,,Spanish
Swedish_1866,Swedish Sign Language,swed1236,,,,59.334591,18.06324,,Swedish
Swedish_SL,Swedish Sign Language,swed1236,,,,58.93,16.11,,Swedish
Turkish_SL,Turkish Sign Language,turk1288,,,,41.03,28.86,,British
Ukrainian_SL,Ukrainian Sign Language,ukra1235,,,,50.41,30.55,,Russian
Yebra_1593,Yebra 1593,,,,,40.416775,-3.70379,,Spanish
