ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Pakistan_SL-91-1,,Pakistan_SL,91, ,¹/Hp_op ¹/Hf_str ¹/Lmid ¹/Lrin ¹/Lpin,,,SabirKhan_etal2014,,
Pakistan_SL-93-1,,Pakistan_SL,93, ,¹/Hc_12,,,SabirKhan_etal2014,,
Bulgarian_SL-1-1,,Bulgarian_SL,1, ,¹/Hfist ¹/Hth_acr,,,Lydell2018,,
Czech_SL-1-1,,Czech_SL,1, ,¹/Hf_23_s ¹/Hth_acr + ²/Hf_2 ²/Hth_acr,,,Hudakova2008,,
American_SL-1-1,,American_SL,1, ,¹/Hfist,,,Long1918,,
Indian_SL-1-1,,Indian_SL,1, ,¹/Hfist ¹/Hth_out + ²/Hfist ²/Hth_out,,,Lydell2018,,
British_SL-1-1,,British_SL,1, ,¹/Hf_2 ¹/Hth_acr + ²/Hflat ²/Hth_out,,,Brien1992,,
Estonian_SL-1-1,,Estonian_SL,1, ,¹/Hfist,,,Eesti2014,,
French_SL-1-1,,French_SL,1, ,¹/Hfist ¹/Hth_out,,,Lydell2018,,
Austrian_SL-1-1,,Austrian_SL,1, ,¹/Hfist,,,Lydell2018,,
German_SL-1-1,,German_SL,1, ,¹/Hfist,,,Lydell2018,,
Greek_SL-1-1,,Greek_SL,1, ,¹/Hfist,,,Hatzopoulou2008,,
Latvian_SL-1-1,,Latvian_SL,1, ,¹/Hfist ¹/Hth_acr,,,Lydell2018,,
Lithuanian_SL-1-1,,Lithuanian_SL,1, ,¹/Hfist ¹/Hf_hook ¹/Hth_out,,,Lydell2018,,
Polish_SL-1-1,,Polish_SL,1, ,¹/Hfist ¹/Hf_hook ¹/Hth_out,,,Lacheta_etal2016,,
Portuguese_SL-1-1,,Portuguese_SL,1, ,¹/Hp_12 ¹/Lmid ¹/Hf_str,,,Lydell2018,,
Russian_SL-1-1,,Russian_SL,1, ,¹/Hfist ¹/Hth_acr,,,Lydell2018,,
Spanish_SL-1-1,,Spanish_SL,1, ,¹/Hfist,,,Blanco2009,,
Swedish_SL-1-1,,Swedish_SL,1, ,¹/Hp_all ¹/Hf_str,,,Svenskt2014,,
Turkish_SL-1-1,,Turkish_SL,1, ,¹/Hf_2 ¹/Hth_acr + ²/Hf_23_s ²/Hth_acr,,,Zeshan2003,,
Croatian_SL-1-1,,Croatian_SL,1, ,¹/Hp_op + ²/Hp_op,,,Kuhn_etal2006,,
Icelandic_SL-1-1,,Icelandic_SL,1, ,¹/Hfist,,,Lydell2018,,
Italian_SL-1-1,,Italian_SL,1, ,¹/Hfist,,,Magarotto1996,,
Brazilian_SL-1-1,,Brazilian_SL,1, ,¹/Hfist,,,Lydell2018,,
Mexican_SL-1-1,,Mexican_SL,1, ,¹/Hfist ¹/Hth_out,,,Lydell2018,,
Pakistan_SL-1-1,,Pakistan_SL,1, ,¹/Hfist,,,SabirKhan_etal2014,,
Ukrainian_SL-1-1,,Ukrainian_SL,1, ,¹/Hfist ¹/Hth_acr,,,Lydell2018,,
Australian_SL-1-1,,Australian_SL,1, ,¹/Hf_2 ¹/Hth_acr + ²/Hf_2345 ²/Hth_out,,,Johnston2014,,
Danish_SL-1-1,,Danish_SL,1, ,¹/Hfist,,,Ordbog2019,,
Norwegian_SL-1-1,,Norwegian_SL,1, ,¹/Hfist ¹/Hth_out,,,Tegnordbok2016,,
Finnish_SL-1-1,,Finnish_SL,1, ,¹/Hfist,,,Suvi1998,,
Yebra_1593-1-1,,Yebra_1593,1, ,¹/Hfist,,,DeYebra1593,,
Bonet_1620-1-1,,Bonet_1620,1, ,¹/Hfist,,,Bonet1620,,
Flemish_SL-1-1,,Flemish_SL,1, ,¹/Hfist,,,Vertaal2012,,
Flemish_SL-1-2,,Flemish_SL,1, ,¹/Hfist ¹/Hth_out,,,Vertaal2012,,
French-Belgian_SL-1-1,,French-Belgian_SL,1, ,¹/Hfist ¹/Hth_out,,,Sonnemans2016,,
Dutch_SL-1-1,,Dutch_SL,1, ,¹/Hfist ¹/Hth_out,,,Zwitserlood2010,,
American_1918-1-1,,American_1918,1, ,¹/Hfist,,,Gordon1886,,
French_1856-1-1,,French_1856,1, ,¹/Hfist,,,Pelissier1856,,
Icelandic_SL-2-1,,Icelandic_SL,2, ,¹/Hf_2345 ¹/Hth_op,,,Lydell2018,,
Danish_SL-2-1,,Danish_SL,2, ,¹/Hf_2345 ¹/Hf_bend ¹/Hth_out,,,Ordbog2019,,
Bulgarian_SL-77-1,,Bulgarian_SL,77, ,¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook,,,Lydell2018,,
Czech_SL-3-1,,Czech_SL,3, ,¹/Hp_all + ²/Hp_all,,,Hudakova2008,,
American_SL-3-1,,American_SL,3, ,¹/Hflat ¹/Hth_acr,,,Long1918,,
Indian_SL-3-1,,Indian_SL,3, ,¹/Hp_12 + ²/Hp_12,,,Lydell2018,,
British_SL-3-1,,British_SL,3, ,¹/Hp_all + ²/Hp_all,,,Brien1992,,
Estonian_SL-3-1,,Estonian_SL,3, ,¹/Hflat ¹/Hth_out,,,Eesti2014,,
French_SL-3-1,,French_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
Austrian_SL-3-1,,Austrian_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
German_SL-3-1,,German_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
Greek_SL-3-1,,Greek_SL,3, ,¹/Hflat ¹/Hth_acr,,,Hatzopoulou2008,,
Latvian_SL-3-1,,Latvian_SL,3, ,¹/Hflat,,,Lydell2018,,
Lithuanian_SL-3-1,,Lithuanian_SL,3, ,¹/Hflat ¹/Hth_out,,,Lydell2018,,
Polish_SL-3-1,,Polish_SL,3, ,¹/Hflat,,,Lacheta_etal2016,,
Portuguese_SL-3-1,,Portuguese_SL,3, ,¹/Hfist ¹/Hth_out,,,Lydell2018,,
Russian_SL-77-1,,Russian_SL,77, ,¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook,,,Lydell2018,,
Spanish_SL-3-1,,Spanish_SL,3, ,¹/Hflat ¹/Hth_acr,,,Blanco2009,,
Swedish_SL-3-1,,Swedish_SL,3, ,¹/Hfist ¹/Hth_out,,,Svenskt2014,,
Turkish_SL-3-1,,Turkish_SL,3, ,¹/Hp_12 + ²/Hp_12,,,Zeshan2003,,
Croatian_SL-3-1,,Croatian_SL,3, ,¹/Hp_12 + ²/Hp_12,,,Kuhn_etal2006,,
Icelandic_SL-3-1,,Icelandic_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
Italian_SL-3-1,,Italian_SL,3, ,¹/Hflat ¹/Hth_acr,,,Magarotto1996,,
Brazilian_SL-3-1,,Brazilian_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
Mexican_SL-3-1,,Mexican_SL,3, ,¹/Hflat ¹/Hth_acr,,,Lydell2018,,
Pakistan_SL-3-1,,Pakistan_SL,3, ,¹/Hflat ¹/Hth_acr,,,SabirKhan_etal2014,,
Ukrainian_SL-77-1,,Ukrainian_SL,77, ,¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_bend,,,Lydell2018,,
Australian_SL-3-1,,Australian_SL,3, ,¹/Hp_op + ²/Hp_op,,,Johnston2014,,
Danish_SL-3-1,,Danish_SL,3, ,¹/Hflat ¹/Hth_acr,,,Ordbog2019,,
Norwegian_SL-3-1,,Norwegian_SL,3, ,¹/Hflat ¹/Hth_acr,,,Tegnordbok2016,,
Finnish_SL-3-1,,Finnish_SL,3, ,¹/Hflat ¹/Hth_acr,,,Suvi1998,,
Yebra_1593-3-1,,Yebra_1593,3, ,¹/Hflat,,,DeYebra1593,,
Bonet_1620-3-1,,Bonet_1620,3, ,¹/Hflat ¹/Hth_acr,,,Bonet1620,,
Turkish_SL-3-2,,Turkish_SL,3, ,¹/Hp_op + ²/Hp_op,,,Zeshan2003,,
Flemish_SL-3-1,,Flemish_SL,3, ,¹/Hflat ¹/Hth_acr,,,Vertaal2012,,
French-Belgian_SL-3-1,,French-Belgian_SL,3, ,¹/Hflat ¹/Hth_acr,,,Sonnemans2016,,
Dutch_SL-3-1,,Dutch_SL,3, ,¹/Hflat ¹/Hth_acr,,,Zwitserlood2010,,
American_1918-3-1,,American_1918,3, ,¹/Hflat ¹/Hth_acr,,,Gordon1886,,
French_1856-3-1,,French_1856,3, ,¹/Hflat ¹/Hth_acr,,,Pelissier1856,,
Czech_SL-4-1,,Czech_SL,4, ,¹/Hc_all,,,Hudakova2008,,
American_SL-4-1,,American_SL,4, ,¹/Hc_all,,,Long1918,,
Indian_SL-4-1,,Indian_SL,4, ,¹/Hc_12,,,Lydell2018,,
British_SL-4-1,,British_SL,4, ,¹/Hc_12,,,Brien1992,,
Estonian_SL-4-1,,Estonian_SL,4, ,¹/Hc_12 ¹/Hth_op,,,Eesti2014,,
French_SL-4-1,,French_SL,4, ,¹/Hc_all,,,Lydell2018,,
Austrian_SL-4-1,,Austrian_SL,4, ,¹/Hc_all ¹/Hth_op,,,Lydell2018,,
