Name_in_Database,Source,SubGroup,Color,Abbreviation,Name,Latitude,Longitude,Abbreviation,Native_Name,ISO6393,Glottolog
French_1815,DeLadebat1815,French,00cccc,LSF_1815,French Sign Language,48.845006,2.341291,LSF,Langue des signes française,fsl,fren1243
French_1856,Pelissier1856,French,00cccc,LSF_1856,French Sign Language,48.845006,2.341291,LSF,Langue des signes française,fsl,fren1243
French_SL,Lydell2018,French,00cccc,LSF,French Sign Language,47,3,LSF,Langue des signes française,fsl,fren1243
French-Belgian_SL,Sonnemans2016,French,00cccc,LSFB,French-Belgian Sign Language,50.8,4.31,LSFB,Langue des signes de Belgique Francophone,sfb,lang1248
German_1820,Alle1821,Austrian,9900,DGS_1820,German Sign Language,48.79947,9.79809,DGS,Deutsche Gebärdensprache,gsg,germ1281
German_1909,Reuschert1909,Austrian,9900,DGS_1909,German Sign Language,51.343479,12.387772,DGS,Deutsche Gebärdensprache,gsg,germ1281
German_1916,Riemann1916,Austrian,9900,DGS_1916,German Sign Language,52.520008,13.404954,DGS,Deutsche Gebärdensprache,gsg,germ1281
German_SL,Lydell2018,Austrian,9900,DGS,German Sign Language,50.82,7.3,DGS,Deutsche Gebärdensprache,gsg,germ1281
Greek_SL,Hatzopoulou2008,French,00cccc,ΕΝΓ,Greek Sign Language,38.05,23.38,ENG,Ελληνική νοηματική γλώσσα,gss,gree1271
Hungary_1827,Schwarzer1827,Austrian,9900,MJ_1827,Hungarian Sign Language,47.77591,19.13612,MJ,Magyar Jelnyelv,hsh,hung1263
Icelandic_1857,Sigurdsson1857,Austrian,9900,ÍTM_1857,Icelandic Sign Language,65.68353,-18.0878,ITM,Íslenskt Táknmál,icl,icel1236
Icelandic_SL,Lydell2018,Austrian,9900,ÍTM,Icelandic Sign Language,64.17,-20.27,ITM,Íslenskt Táknmál,icl,icel1236
Indian_SL,Lydell2018,British,0000ff,IndSL,Indian Sign Languaage,27.52,79.68,IndSL,भारतीय सांकेतिक भाषा,ins,indi1237
International_MA,Rubino_etal1975,French,00cccc,IS,International Sign,49.74,-30.08,IS,International Sign,ils,inte1259
Irish_SL,LeMaster2002,French,00cccc,IrSL,Irish Sign Language,53.31,-6.37,IrSL,Teanga Chomharthaíochta na hÉireann,isg,iris1235
Italian_1897,Fornari1897,French,00cccc,LIS_1897,Italian Sign Language,45.464211,9.191383,LIS,Lingua dei Segni Italiana,ise,ital1275
Italian_SL,Magarotto1996,French,00cccc,LIS,Italian Sign Language,42.73,12.43,LIS,Lingua dei Segni Italiana,ise,ital1275
Jordanian_SL,Hendriks2008,Afghan-Jordanian,9900cc,LIU,Jordanian Sign Language,31.82,36.08,LIU,لغة الإشارة الأردنية,jos,
Latvian_SL,Lydell2018,Polish,ff9900,LSL,Latvian Sign Language,56.93,24.49,LSL,Latviešu zīmju valodas,lsl,latv1245
Lithuanian_SL,Lydell2018,Polish,ff9900,LGK,Lithuainian Sign Language,55.25,23.88,LGK,Lietuvių gestų kalba,lls,lith1236
Mexican_SL,Lydell2018,French,00cccc,LSM,Mexican Sign Language,19.75,-98.5,LSM,Lengua de Señas Mexicana,mfs,mexi1237
NewZealand_SL,McKee_etal2011,British,0000ff,NZSL,New Zealand Sign Language,-39.29,175.77,NZSL,New Zealand Sign Language,nzs,newz1236
