ID	DOCULECT	DOCULECT_TRANSLATION	HAND_NUMBER	CONCEPTICON	CONCEPT	HANDSHAPE_1	HANDSHAPE_2	TOKENS	COGIDS	COGID	NARROW_CONCEPT	ALIGNMENT	DOCULECT_NAME	NOTE	YEAR	SOURCE	BORROWING	COGNACY	2ID
578	Italian_SL	Italian Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Lingua dei Segni Italiana		2015	Geraci 2015; spreadthesign.com		!IMA!	
604	Brazilian_SL	Brazilian Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Libras			spreadthesign.com			
631	Mexican_SL	Mexican Sign Language	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Lengua de Señas Mexicana						
660	Pakistan_SL	Pakistan Sign Language	1		a			¹/Hfist	1	1	ا	¹/Hfist	پاکستانی اشارتی زبان						
699	Ukranian_SL	Ukranian Sign Language	1		a			¹/Hfist ¹/Hth_acr	279	226	а	¹/Hfist ¹/Hth_acr	Українська жестова мова			spreadthesign.com			
732	Australian_SL	Australian Sign Language	2		a			¹/Hf_2 ¹/Hth_acr + ²/Hf_2345 ²/Hth_out	418 267	347	a	¹/Hf_2 ¹/Hth_acr + ²/Hf_2345 ²/Hth_out	Auslan			auslan.org.au/spell/twohanded.html			
758	Danish_SL	Danish Sign Language	1		a			¹/Hfist	1	1	a		Dansk Tegnsprog			tegnsprog.dk		!IMA!	
786	Norwegian_SL	Norwegian Sign Language	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Norsk tegnspråk						
812	Finnish_SL	Finnish Sign Language	1		a			¹/Hfist	1	1	a		Suomalainen viittomakieli					!IMA!	
840	Yebra_1593	Refugium Infirmorum	1		a			¹/Hfist	1	1	a				1593	Yebra 1593			
862	Bonet_1620	Bonet	1		a			¹/Hfist	1	1	a				1620	Bonet 1620			
889	Flemish_SL	Flemish Sign Language	1		a			¹/Hfist	1	1	a		Vlaamse Gebarentaal	variant 1					
890	Flemish_SL	Flemish Sign Language	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Vlaamse Gebarentaal	variant 2					
916	French-Belgian_SL	French Belgian Sign Language	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Langue des signes de Belgique Francophone						
943	Dutch_SL	Sign Language of the Netherlands	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Nederlandse Gebarentaal			Zwitserlood 2010			
969	American_1918	American Sign Language	1		a			¹/Hfist	1	1	a		American Sign Language		1918	Long 1918			
995	French_1856	French Sign Language	1		a			¹/Hfist	1	1	a		Langue des signes française		1856	Pelissier 1856			
576	Icelandic_SL	Icelandic Sign Language	1		ae			¹/Hf_2345 ¹/Hth_op	496	141	æ	¹/Hf_2345 ¹/Hth_op	Íslenskt Táknmál						
784	Danish_SL	Danish Sign Language	1		ae			¹/Hf_2345 ¹/Hf_bend ¹/Hth_out	496	141	æ	¹/Hf_2345 ¹/Hf_bend ¹/Hth_out	Dansk Tegnsprog				!borrowed!		
2	Bulgarian_SL	Bulgarian Sign Language	1		б			¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook	3	334	б	¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook	български жестомимичен език			spreadthesign.com			
32	Czech_SL	Czech Sign Language	2		b			¹/Hp_all + ²/Hp_all	79 80	2	b	¹/Hp_all + ²/Hp_all	Ceský Znakový Jazyk		2006	Hudáková 2006			
58	American_SL	American Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	American Sign Language		1998	Tennant & Brown 1998; spreadthesign.com			
84	Indian_SL	Indian Sign Language	2		b			¹/Hp_12 + ²/Hp_12	265 266	209	b	¹/Hp_12 + ²/Hp_12	Indian Sign Language			spreadthesign.com			
110	British_SL	British Sign Language	2		b			¹/Hp_all + ²/Hp_all	79 80	2	b	¹/Hp_all + ²/Hp_all	British Sign Language						
137	Estonian_SL	Estonian Sign Language	1		b			¹/Hflat ¹/Hth_out	308	294	b	¹/Hflat ¹/Hth_out	Eesti viipekeel						
167	French_SL	French Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Langue des signes française						
194	Austrian_SL	Austrian Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Österreichische Gebärdensprache					!IMA!	
223	German_SL	German Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Deutsche Gebärdensprache					!IMA!	
249	Greek_SL	Greek Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	β	¹/Hflat ¹/Hth_acr	Ελληνική νοηματική γλώσσα			Hatzopoulou 2008			
274	Latvian_SL	Latvian Sign Language	1		b			¹/Hflat	308	294	b	¹/Hflat	Latviešu zīmju valodas						
306	Lithuanian_SL	Lithuanian Sign Language	1		b			¹/Hflat ¹/Hth_out	308	294	b	¹/Hflat ¹/Hth_out	Lietuvių gestų kalba						
330	Polish_SL	Polish Sign Language	1		b			¹/Hflat	308	294	b	¹ / H f l a t	Polski Język Migowy						
363	Portuguese_SL	Portuguese Sign Language	1		b			¹/Hfist ¹/Hth_out	365	182	b	¹/Hfist ¹/Hth_out	Língua gestual portuguesa						
389	Russian_SL	Russian Sign Language	1		б			¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook	3	334	б	¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_hook	Русский Жестовый Язык						
422	Spanish_SL	Spanish Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Lengua de Signos Española	possible borrowing					
451	Swedish_SL	Swedish Sign Language	1		b			¹/Hfist ¹/Hth_out	365	182	b	¹/Hfist ¹/Hth_out	Svenskt teckenspråk						
478	Turkish_SL	Turkish Sign Language	2		b			¹/Hp_12 + ²/Hp_12	265 266	209	b	¹/Hp_12 + ²/Hp_12	Türk İşaret Dili			spreadthesign.com			
510	Croatian_SL	Croatian Sign Language	2		b			¹/Hp_12 + ²/Hp_12	265 266	209	b	¹/Hp_12 + ²/Hp_12	Izaberi jezik			Kuhn et al 2006			
545	Icelandic_SL	Icelandic Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Íslenskt Táknmál	Close: ¹/Hflat ¹/Hth_acr ¹/Lind ¹/H_opp					
579	Italian_SL	Italian Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Lingua dei Segni Italiana		2015	Geraci 2015; spreadthesign.com		!IMA!	
605	Brazilian_SL	Brazilian Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Libras						
632	Mexican_SL	Mexican Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Lengua de Señas Mexicana						
661	Pakistan_SL	Pakistan Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	ب	¹/Hflat ¹/Hth_acr	پاکستانی اشارتی زبان						
700	Ukranian_SL	Ukranian Sign Language	1		б			¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_bend	3	334	б	¹/Hf_23 ¹/Hth_acr ¹/Lmid ¹/Hf_bend	Українська жестова мова						
733	Australian_SL	Australian Sign Language	2		b			¹/Hp_op + ²/Hp_op	254 263	208	b	¹/Hp_op ²/Hp_op	Auslan						
759	Danish_SL	Danish Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Dansk Tegnsprog					!IMA!	
787	Norwegian_SL	Norwegian Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Norsk tegnspråk						
813	Finnish_SL	Finnish Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Suomalainen viittomakieli					!IMA!	
841	Yebra_1593	Refugium Infirmorum	1		b			¹/Hflat	308	294	b				1593	Yebra 1593			
863	Bonet_1620	Bonet	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr			1620	Bonet 1620			
884	Turkish_SL	Turkish Sign Language	2		b			¹/Hp_op + ²/Hp_op	254 263	208	b	¹/Hp_op + ²/Hp_op				Zeshan 2003			
891	Flemish_SL	Flemish Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Vlaamse Gebarentaal						
917	French-Belgian_SL	French Belgian Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Langue des signes de Belgique Francophone						
944	Dutch_SL	Sign Language of the Netherlands	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Nederlandse Gebarentaal						
970	American_1918	American Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	American Sign Language		1918	Long 1918			
996	French_1856	French Sign Language	1		b			¹/Hflat ¹/Hth_acr	161	29	b	¹/Hflat ¹/Hth_acr	Langue des signes française		1856	Pelissier 1856			
33	Czech_SL	Czech Sign Language	1		c			¹/Hc_all	81	86	c	¹/Hc_all	Ceský Znakový Jazyk		2006	Hudáková 2006			
59	American_SL	American Sign Language	1		c			¹/Hc_all	81	86	c	¹/Hc_all	American Sign Language		1998	Tennant & Brown 1998; spreadthesign.com			
85	Indian_SL	Indian Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	Indian Sign Language			spreadthesign.com			
111	British_SL	British Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	British Sign Language			spreadthesign.com			
138	Estonian_SL	Estonian Sign Language	1		c			¹/Hc_12 ¹/Hth_op	165	195	c	¹/Hc_12 ¹/Hth_op	Eesti viipekeel	or parallel development			!borrowed!		
168	French_SL	French Sign Language	1		c			¹/Hc_all	81	86	c	¹/Hc_all	Langue des signes française						
195	Austrian_SL	Austrian Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Österreichische Gebärdensprache					!IMA!	
224	German_SL	German Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Deutsche Gebärdensprache					!IMA!	
275	Latvian_SL	Latvian Sign Language	1		c			¹/Hc_all	81	86	c	¹/Hc_all	Latviešu zīmju valodas						
307	Lithuanian_SL	Lithuanian Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	Lietuvių gestų kalba						
331	Polish_SL	Polish Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	Polski Język Migowy						
364	Portuguese_SL	Portuguese Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Língua gestual portuguesa				!borrowed!		
423	Spanish_SL	Spanish Sign Language	1		c			¹/Hc_all	81	86	c	¹/Hc_all	Lengua de Signos Española						
452	Swedish_SL	Swedish Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Svenskt teckenspråk				!borrowed!		
479	Turkish_SL	Turkish Sign Language	1		c			¹/Hc_12 ¹/Hth_op	165	195	c	¹/Hc_12 ¹/Hth_op	Türk İşaret Dili						
511	Croatian_SL	Croatian Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	Izaberi jezik			Kuhn et al 2006			
546	Icelandic_SL	Icelandic Sign Language	1		c			¹/Hc_12	165	195	c	¹/Hc_12	Íslenskt Táknmál						
580	Italian_SL	Italian Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Lingua dei Segni Italiana		2015	Geraci 2015; spreadthesign.com		!IMA!	
606	Brazilian_SL	Brazilian Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Libras						
633	Mexican_SL	Mexican Sign Language	1		c			¹/Hc_all ¹/Hth_op	81	86	c	¹/Hc_all ¹/Hth_op	Lengua de Señas Mexicana						
734	Australian_SL	Australian Sign Language	1		c			¹/Hc_12 ¹/Hth_op	165	195	c	¹/Hc_12 ¹/Hth_op	Auslan						
760	Danish_SL	Danish Sign Language	1		c			¹/Hc_all	81	86	c		Dansk Tegnsprog					!IMA!	
788	Norwegian_SL	Norwegian Sign Language	1		c			¹/Hc_12 ¹/Hth_op	165	195	c	¹/Hc_12 ¹/Hth_op	Norsk tegnspråk						
814	Finnish_SL	Finnish Sign Language	1		c			¹/Hc_all	81	86	c		Suomalainen viittomakieli					!IMA!	
842	Yebra_1593	Refugium Infirmorum	1		c			¹/Hc_all	81	86	c				1593	Yebra 1593			
864	Bonet_1620	Bonet	1		c			¹/Hc_all	81	86	c				1620	Bonet 1620			
892	Flemish_SL	Flemish Sign Language	1		c			¹/Hc_all	81	86	c		Vlaamse Gebarentaal						
918	French-Belgian_SL	French Belgian Sign Language	1		c			¹/Hc_all	81	86	c		Langue des signes de Belgique Francophone						
945	Dutch_SL	Sign Language of the Netherlands	1		c			¹/Hc_all	81	86	c		Nederlandse Gebarentaal						
971	American_1918	American Sign Language	1		c			¹/Hc_all	81	86	c		American Sign Language		1918	Long 1918			
997	French_1856	French Sign Language	1		c			¹/Hc_all	81	86	c		Langue des signes française		1856	Pelissier 1856			
24	Bulgarian_SL	Bulgarian Sign Language	1		ch			¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	53	23	ч	¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	български жестомимичен език			spreadthesign.com			
412	Russian_SL	Russian Sign Language	1		ch			¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	53	23	ч	¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	Русский Жестовый Язык						
424	Spanish_SL	Spanish Sign Language	1		ch			¹/Hf_23_s ¹/Hth_out	6	177	ch	¹/Hf_23_s ¹/Hth_out	Lengua de Signos Española					?cognacy?	
667	Pakistan_SL	Pakistan Sign Language	1		ch			¹/Hflat ¹/Hth_acr ¹/Lpin ¹/Hf_hook	574	311	چ	¹/Hflat ¹/Hth_acr ¹/Lpin ¹/Hf_hook	پاکستانی اشارتی زبان						
726	Ukranian_SL	Ukranian Sign Language	1		ch			¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	53	23	ч	¹/Hp_12 ¹/Hf_str ¹/Lind ¹/Lmid	Українська жестова мова						
5	Bulgarian_SL	Bulgarian Sign Language	1		d			¹/Hf_23 ¹/Hf_str ¹/Hth_acr	10	154	д	¹/Hf_23 ¹/Hf_str ¹/Hth_acr	български жестомимичен език			spreadthesign.com			
34	Czech_SL	Czech Sign Language	2		d			¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	82 84	247	d	¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	Ceský Znakový Jazyk		2006	Hudáková 2006			
60	American_SL	American Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	American Sign Language		1998	Tennant & Brown 1998; spreadthesign.com			
86	Indian_SL	Indian Sign Language	2		d			¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	82 84	247	d	¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	Indian Sign Language			spreadthesign.com			
112	British_SL	British Sign Language	2		d			¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	82 84	247	d	¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	British Sign Language						
139	Estonian_SL	Estonian Sign Language	1		d			¹/Hp_all ¹/Hf_str	269	111	d	¹/Hp_all ¹/Hf_str	Eesti viipekeel	ж					
169	French_SL	French Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Langue des signes française						
196	Austrian_SL	Austrian Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Österreichische Gebärdensprache					!IMA!	
225	German_SL	German Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Deutsche Gebärdensprache					!IMA!	
251	Greek_SL	Greek Sign Language	1		d			¹/Hp_12 ¹/Lmid	256	201	δ	¹/Hp_12 ¹/Lmid	Ελληνική νοηματική γλώσσα			Hatzopoulou 2008			
277	Latvian_SL	Latvian Sign Language	1		d			¹/Hf_23 ¹/Hth_acr	10	154	d	¹/Hf_23 ¹/Hth_acr	Latviešu zīmju valodas						
308	Lithuanian_SL	Lithuanian Sign Language	1		d			¹/Hf_2 ¹/Hth_acr	253	200	d	¹/Hf_2 ¹/Hth_acr	Lietuvių gestų kalba					?cognacy?	
333	Polish_SL	Polish Sign Language	1		d			¹/Hf_2 ¹/Hth_acr	253	200	d	¹/Hf_2 ¹/Hth_acr	Polski Język Migowy					?cognacy?	
365	Portuguese_SL	Portuguese Sign Language	1		d			¹/Hflat ¹/Hth_out	309	296	d	¹/Hflat ¹/Hth_out	Língua gestual portuguesa						
392	Russian_SL	Russian Sign Language	1		d			¹/Hf_23 ¹/Hth_acr	10	154	д	¹/Hf_23 ¹/Hth_acr	Русский Жестовый Язык						
425	Spanish_SL	Spanish Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Lengua de Signos Española						
453	Swedish_SL	Swedish Sign Language	1		d			¹/Hflat ¹/Hth_acr	503	215	d	¹/Hflat ¹/Hth_acr	Svenskt teckenspråk						
514	Croatian_SL	Croatian Sign Language	2		d			¹/Hc_12 + ²/Hf_2 ²/Hth_acr	82 84	247	d	¹/Hc_12 + ²/Hf_2 ²/Hth_acr	Izaberi jezik			Kuhn et al 2006			
547	Icelandic_SL	Icelandic Sign Language	1		d			¹/Hp_op ¹/Lmid	247	180	d	¹/Hp_op ¹/Lmid	Íslenskt Táknmál						
581	Italian_SL	Italian Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Lingua dei Segni Italiana		2015	Geraci 2015; spreadthesign.com		!IMA!	
608	Brazilian_SL	Brazilian Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Libras						
634	Mexican_SL	Mexican Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Lengua de Señas Mexicana						
670	Pakistan_SL	Pakistan Sign Language	1		d			¹/Hf_2 ¹/Hf_bend ¹/Hth_acr	20	3	د	¹/Hf_2 ¹/Hf_bend ¹/Hth_acr	پاکستانی اشارتی زبان						
671	Pakistan_SL	Pakistan Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	ڈ‬	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	پاکستانی اشارتی زبان						
704	Ukranian_SL	Ukranian Sign Language	1		d			¹/Hf_23 ¹/Hth_acr	10	154	д	¹/Hf_23 ¹/Hth_acr	Українська жестова мова						
735	Australian_SL	Australian Sign Language	2		d			¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	82 84	247	d	¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	Auslan						
761	Danish_SL	Danish Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Dansk Tegnsprog					!IMA!	
789	Norwegian_SL	Norwegian Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Norsk tegnspråk	possible borrowing					
815	Finnish_SL	Finnish Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Suomalainen viittomakieli					!IMA!	
843	Yebra_1593	Refugium Infirmorum	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Hf_hook	251	198	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Hf_hook			1593	Yebra 1593			
865	Bonet_1620	Bonet	1		d			¹/Hp_12 ¹/Lmid ¹/Lind ¹/Hf_bend	249	192	d	¹/Hp_12 ¹/Lmid ¹/Lind ¹/Hf_bend		transcription?	1620	Bonet 1620			
885	Turkish_SL	Turkish Sign Language	2		d			¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	84 82	247	d	¹/Hc_12 ¹/Hth_op + ²/Hf_2 ²/Hth_acr	Türk İşaret Dili			Zeshan 2003			
893	Flemish_SL	Flemish Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Vlaamse Gebarentaal						
919	French-Belgian_SL	French Belgian Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lrin ¹/Lpin	Langue des signes de Belgique Francophone						
946	Dutch_SL	Sign Language of the Netherlands	1		d			¹/Hp_op ¹/Lmid ¹/Lthu ¹/Hf_hook ¹/Lrin ¹/H_opp ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/Lthu ¹/Hf_hook ¹/Lrin ¹/H_opp ¹/Lpin	Nederlandse Gebarentaal	transcription?					
972	American_1918	American Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	American Sign Language		1918	Long 1918			
998	French_1856	French Sign Language	1		d			¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	163	261	d	¹/Hp_op ¹/Lmid ¹/H_opp ¹/Lrin ¹/Lpin	Langue des signes française		1856	Pelissier 1856			
516	Croatian_SL	Croatian Sign Language	2		dž			¹/Hc_12 + ¹/Hflat ¹/Hth_out + ²/Hf_2 ²/Hth_acr + ²/Hflat ²/Hth_out	460 405 463 410	249	dž	¹/Hc_12 + ¹/Hflat ¹/Hth_out + ²/Hf_2 ²/Hth_acr + ²/Hflat ²/Hth_out	Izaberi jezik	2-handed and sequential		Kuhn et al 2006			
6	Bulgarian_SL	Bulgarian Sign Language	1		e			¹/Hp_all	258	204	е	¹/Hp_all	български жестомимичен език			spreadthesign.com			
