ID	DOCULECT	DOCULECT_TRANSLATION	HAND_NUMBER	CONCEPTICON	CONCEPT	HANDSHAPE_1	HANDSHAPE_2	TOKENS	COGIDS	COGID	NARROW_CONCEPT	ALIGNMENT	DOCULECT_NAME	NOTE	YEAR	SOURCE	BORROWING	COGNACY	2ID
681	Pakistan_SL	Pakistan Sign Language	1		ط			¹/Hp_op ¹/Hf_str ¹/Lmid ¹/Lrin ¹/Lpin	602	323	ط	¹/Hp_op ¹/Hf_str ¹/Lmid ¹/Lrin ¹/Lpin	پاکستانی اشارتی زبان			Khan et al 2014			
683	Pakistan_SL	Pakistan Sign Language	1		ع			¹/Hc_12	611	325	ع	¹/Hc_12	پاکستانی اشارتی زبان						
1	Bulgarian_SL	Bulgarian Sign Language	1		a			¹/Hfist ¹/Hth_acr	279	226	а	¹/Hfist ¹/Hth_acr	български жестомимичен език			spreadthesign.com			
31	Czech_SL	Czech Sign Language	2		a			¹/Hf_23_s ¹/Hth_acr + ²/Hf_2 ²/Hth_acr	77 76	224	a	¹/ɥf₂ɜ_s ¹/ɥth ̺cr + ²/ɥf₂ ²/ɥth ̺cr	Ceský Znakový Jazyk		2006	Hudáková 2006			
57	American_SL	American Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	American Sign Language		1998	Tennant & Brown 1998; spreadthesign.com			
83	Indian_SL	Indian Sign Language	2		a			¹/Hfist ¹/Hth_out + ²/Hfist ²/Hth_out	639 207	75	a	¹/Hfist ¹/Hth_out + ²/Hfist ²/Hth_out	Indian Sign Language			spreadthesign.com			
109	British_SL	British Sign Language	2		a			¹/Hf_2 ¹/Hth_acr + ²/Hflat ²/Hth_out	418 267	347	a	¹/Hf_2 ¹/Hth_acr + ²/Hflat ²/Hth_out	British Sign Language			british-sign.co.uk; spreadthesign.com			
135	Estonian_SL	Estonian Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Eesti viipekeel			eki.ee/dict/viipekeel/			
166	French_SL	French Sign Language	1		a			¹/Hfist ¹/Hth_out	307	287	a	¹/Hfist ¹/Hth_out	Langue des signes française						
192	Austrian_SL	Austrian Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Österreichische Gebärdensprache			spreadthesign.com		!IMA!	
222	German_SL	German Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Deutsche Gebärdensprache					!IMA!	
248	Greek_SL	Greek Sign Language	1		a			¹/Hfist	1	1	α	¹/Hfist	Ελληνική νοηματική γλώσσα			Hatzopoulou 2008			
272	Latvian_SL	Latvian Sign Language	1		a			¹/Hfist ¹/Hth_acr	279	226	a	¹/Hfist ¹/Hth_acr	Latviešu zīmju valodas						
305	Lithuanian_SL	Lithuanian Sign Language	1		a			¹/Hfist ¹/Hf_hook ¹/Hth_out	279	226	a	¹/Hfist ¹/Hf_hook ¹/Hth_out	Lietuvių gestų kalba						
328	Polish_SL	Polish Sign Language	1		a			¹/Hfist ¹/Hf_hook ¹/Hth_out	279	226	a	¹/Hfist ¹/Hf_hook ¹/Hth_out	Polski Język Migowy						
362	Portuguese_SL	Portuguese Sign Language	1		a			¹/Hp_12 ¹/Lmid ¹/Hf_str	243	175	a	¹/Hp_12 ¹/Lmid ¹/Hf_str	Língua gestual portuguesa			spreadthesign.com		?cognacy?	
388	Russian_SL	Russian Sign Language	1		a			¹/Hfist ¹/Hth_acr	279	226	а	¹/Hfist ¹/Hth_acr	Русский Жестовый Язык			spreadthesign.com			
421	Spanish_SL	Spanish Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Lengua de Signos Española						
448	Swedish_SL	Swedish Sign Language	1		a			¹/Hp_all ¹/Hf_str	362	181	a	¹/Hp_all ¹/Hf_str	Svenskt teckenspråk			teckensprakslexikon.su.se			
477	Turkish_SL	Turkish Sign Language	2		a			¹/Hf_2 ¹/Hth_acr + ²/Hf_23_s ²/Hth_acr 	76 77	224	a	¹/Hf_2 ¹/Hth_acr + ²/Hf_23_s ²/Hth_acr 	Türk İşaret Dili			Zeshan 2003			
509	Croatian_SL	Croatian Sign Language	2		a			¹/Hp_op + ²/Hp_op	456 457	245	a	¹/Hp_op + ²/Hp_op	Izaberi jezik			Kuhn et al 2006			
543	Icelandic_SL	Icelandic Sign Language	1		a			¹/Hfist	1	1	a	¹/Hfist	Íslenskt Táknmál						
